Name,Location,Total,Arson,Assault,Burglary,Disturbing the Peace,Drugs/Alcohol Violations,DUI,Fraud,Homicide,Motor Vehicle Theft,Robbery,Sex Crimes,Theft/Larceny,Vandalism,Vehicle Break-In/Theft,Weapons
Apartment for Rent,"1155 S Grand Ave, Los Angeles, CA 90015",232,1,28,3,0,0,0,0,0,55,15,1,72,0,57,0
Apartment for Rent,"1157 5th Ave, Los Angeles, CA 90019",47,4,5,9,0,0,0,0,0,9,8,0,8,0,4,0
Apartment for Rent,"1158 W 37th St, Los Angeles, CA 90007",56,0,5,6,0,0,0,0,0,13,2,0,21,0,9,0
Apartment for Rent,"1159 5th Ave, Los Angeles, CA 90019",45,4,5,10,0,0,0,0,0,7,8,0,8,0,3,0
Apartment for Rent,"1159 W 36th Pl, Los Angeles, CA 90007",57,0,5,6,0,0,0,0,0,12,2,0,23,0,9,0
Apartment for Rent,"1164 W 37th Pl, Los Angeles, CA 90007",50,0,5,6,0,0,0,0,0,12,2,0,17,0,8,0
Apartment for Rent,"1171 W 37th Plz, Los Angeles, CA 90007",51,0,5,6,0,0,0,0,0,12,2,0,17,0,9,0
Apartment for Rent,"1183 Rolland Curtis Pl, Los Angeles, CA 90037",41,0,8,7,0,0,0,0,0,11,2,1,5,0,7,0
Apartment for Rent,"1184 W 30th St, Los Angeles, CA 90007",81,0,6,6,0,0,0,0,0,21,1,0,40,0,7,0
Apartment for Rent,"1201 S Hope St, Los Angeles, CA 90015",207,1,28,3,0,0,0,0,0,49,10,1,63,0,52,0
Apartment for Rent,"1219 W 25th St, Los Angeles, CA 90007",53,0,6,6,0,0,0,0,0,16,4,0,16,0,5,0
Apartment for Rent,"1222 Elden Ave, Los Angeles, CA 90006",60,0,12,10,0,0,0,0,0,10,10,0,6,0,12,0
Apartment for Rent,"1226 S Westmoreland Ave, Los Angeles, CA 90006",56,0,10,10,0,0,0,0,0,10,10,0,5,0,11,0
Apartment for Rent,"1233 W 39th Pl, Los Angeles, CA 90037",39,1,10,6,0,0,0,0,0,9,2,1,4,0,6,0
Apartment for Rent,"1234 Wilshire Blvd, Los Angeles, CA 90017",148,1,31,11,0,0,0,0,1,19,17,1,51,0,16,0
Apartment for Rent,"1251 W 36th Pl, Los Angeles, CA 90007",47,0,5,9,0,0,0,0,0,12,2,0,11,0,8,0
Apartment for Rent,"1256 W 37th St, Los Angeles, CA 90007",44,0,5,5,0,0,0,0,0,15,2,0,9,0,8,0
Apartment for Rent,"1283 3rd Ave, Los Angeles, CA 90019",46,4,7,8,0,0,0,0,0,10,8,0,5,0,4,0
Apartment for Rent,"1296 W 37th Pl, Los Angeles, CA 90007",45,0,5,9,0,0,0,0,0,13,2,1,7,0,8,0
Apartment for Rent,"1310 S Wilton Pl, Los Angeles, CA 90019",53,3,5,9,0,0,0,0,0,10,4,0,12,0,10,0
Apartment for Rent,"1314 W 22nd St, Los Angeles, CA 90007",52,0,8,5,0,0,0,0,0,15,4,0,15,0,5,0
Apartment for Rent,"1314 W 35th Pl, Los Angeles, CA 90007",47,0,5,9,0,0,0,0,0,11,1,0,11,0,10,0
Apartment for Rent,"1323 W 12th Pl, Los Angeles, CA 90015",77,0,19,5,0,0,0,0,1,17,8,0,12,0,15,0
Apartment for Rent,"1324 Toberman St, Los Angeles, CA 90015",42,0,14,3,0,0,0,0,0,6,6,0,3,0,10,0
Apartment for Rent,"1325 Hoover S St, Los Angeles, CA 90006",62,0,17,6,0,0,0,0,0,12,9,0,7,0,11,0
Apartment for Rent,"1339 W 36th Pl, Los Angeles, CA 90007",48,0,7,9,0,0,0,0,0,12,2,0,10,0,8,0
Apartment for Rent,"1341 S Union Ave, Los Angeles, CA 90015",46,0,13,4,0,0,0,0,0,8,7,0,3,0,11,0
Apartment for Rent,"1343 E 33rd St, Los Angeles, CA 90011",35,0,3,1,0,0,0,0,0,9,3,0,15,0,4,0
Apartment for Rent,"1366 W 24th St, Los Angeles, CA 90007",53,0,6,5,0,0,0,0,0,17,3,0,16,0,6,0
Apartment for Rent,"1416 W Olympic Blvd, Los Angeles, CA 90015",89,1,20,5,0,0,0,0,1,17,11,0,18,0,16,0
Apartment for Rent,"1421 W 35th St, Los Angeles, CA 90018",41,0,5,9,0,0,0,0,0,10,4,0,5,0,8,0
Apartment for Rent,"1422 W 29th St, Los Angeles, CA 90007",66,0,7,4,0,0,0,0,0,17,1,0,29,0,8,0
Apartment for Rent,"1426 W 27th St, Los Angeles, CA 90007",60,0,7,5,0,0,0,0,0,17,1,0,21,0,9,0
Apartment for Rent,"1426 W 38th St, Los Angeles, CA 90062",34,1,9,4,0,0,0,0,0,8,3,1,4,0,4,0
Apartment for Rent,"1431 W 36th St, Los Angeles, CA 90018",44,0,6,9,0,0,0,0,0,12,5,1,5,0,6,0
Apartment for Rent,"147 E 36th St, Los Angeles, CA 90011",35,0,2,3,0,0,0,0,0,13,4,0,4,0,9,0
Apartment for Rent,"1477 W 36th St, Los Angeles, CA 90018",38,0,7,9,0,0,0,0,0,11,5,1,2,0,3,0
Apartment for Rent,"1479 W 36th St, Los Angeles, CA 90018",41,0,7,9,0,0,0,0,0,11,5,1,4,0,4,0
Apartment for Rent,"1510 S Van Ness Ave, Los Angeles, CA 90019",51,3,6,7,0,0,0,0,0,11,4,0,11,0,9,0
Apartment for Rent,"1515 Wilshire Blvd, Los Angeles, CA 90017",112,1,37,11,0,0,0,0,1,18,15,1,16,0,12,0
Apartment for Rent,"1570 W 36th St, Los Angeles, CA 90018",42,0,9,8,0,0,0,0,0,10,5,1,7,0,2,0
Apartment for Rent,"1580 W 30th St, Los Angeles, CA 90007",41,0,5,6,0,0,0,0,0,12,1,0,8,0,9,0
Apartment for Rent,"1640 W Vernon Ave, Los Angeles, CA 90062",41,0,10,1,0,0,0,0,0,10,4,1,4,0,11,0
Apartment for Rent,"1659 W 36th Pl, Los Angeles, CA 90018",40,0,9,8,0,0,0,0,0,9,6,1,6,0,1,0
Apartment for Rent,"1711 S New Hampshire Ave, Los Angeles, CA 90006",42,0,9,8,0,0,0,0,0,10,7,0,3,0,5,0
Apartment for Rent,"1720 Miramar St, Los Angeles, CA 90026",84,0,21,9,0,0,0,0,0,14,12,2,16,0,10,0
Apartment for Rent,"1740 S New England St, Los Angeles, CA 90006",47,0,10,7,0,0,0,0,0,9,9,0,5,0,7,0
Apartment for Rent,"17550 W 45th St, Los Angeles, CA 90062",41,0,8,1,0,0,0,0,1,10,4,1,5,0,11,0
Apartment for Rent,"1765 W 38th St, Los Angeles, CA 90062",24,0,7,0,0,0,0,0,0,3,5,1,3,0,5,0
Apartment for Rent,"1815 W 12th St, Los Angeles, CA 90006",70,0,17,4,0,0,0,0,0,17,9,0,8,0,15,0
Apartment for Rent,"1817 W 12th St, Los Angeles, CA 90006",70,0,15,3,0,0,0,0,0,19,10,0,8,0,15,0
Apartment for Rent,"1830 W Jefferson Blvd, Los Angeles, CA 90018",27,0,4,5,0,0,0,0,0,8,6,0,3,0,1,0
Apartment for Rent,"1935 W 23rd St, Los Angeles, CA 90018",22,0,4,0,0,0,0,0,0,6,1,0,6,0,5,0
Apartment for Rent,"2121 James M Wood Blvd, Los Angeles, CA 90006",90,0,27,6,0,0,0,0,1,18,12,0,15,0,11,0
Apartment for Rent,"215 W 5th St, Los Angeles, CA 90013",231,1,62,11,0,0,0,0,0,27,25,2,57,0,46,0
Apartment for Rent,"2209 Crenshaw Blvd, Los Angeles, CA 90016",22,0,5,3,0,0,0,0,0,8,0,0,3,0,3,0
Apartment for Rent,"221 Lucas Ave, Los Angeles, CA 90026",52,0,15,5,0,0,0,0,0,14,2,3,4,0,9,0
Apartment for Rent,"222 S Main St, Los Angeles, CA 90012",154,1,51,7,0,0,0,0,0,16,17,1,30,0,31,0
Apartment for Rent,"2231 Ellendale Pl, Los Angeles, CA 90007",53,0,6,4,0,0,0,0,0,16,4,0,17,0,6,0
Apartment for Rent,"225 S Grand Ave, Los Angeles, CA 90012",85,0,23,1,0,0,0,0,0,13,7,1,18,0,22,0
Apartment for Rent,"225 S Olive St, Los Angeles, CA 90012",112,0,34,5,0,0,0,0,0,16,11,1,22,0,23,0
Apartment for Rent,"2288 W 27th St, Los Angeles, CA 90018",25,0,3,0,0,0,0,0,0,11,1,1,1,0,8,0
Apartment for Rent,"2331 Portland St, Los Angeles, CA 90007",50,0,5,4,0,0,0,0,0,12,3,0,21,0,5,0
Apartment for Rent,"235 E 28th St, Los Angeles, CA 90011",43,0,7,3,0,0,0,0,0,11,3,0,8,0,11,0
Apartment for Rent,"236 S Los Angeles St, Los Angeles, CA 90012",169,1,57,7,0,0,0,0,0,18,19,2,32,0,33,0
Apartment for Rent,"236 W 39th St, Los Angeles, CA 90037",70,0,4,2,0,0,0,0,0,10,1,0,45,0,8,0
Apartment for Rent,"238 E Vernon Ave, Los Angeles, CA 90011",67,0,9,2,0,0,0,0,0,12,4,1,34,0,5,0
Apartment for Rent,"2404 5th Ave, Los Angeles, CA 90018",27,0,4,3,0,0,0,0,0,7,0,1,2,0,10,0
Apartment for Rent,"253 S Broadway, Los Angeles, CA 90012",160,0,49,7,0,0,0,0,0,21,18,1,37,0,27,0
Apartment for Rent,"255 S Grand Ave, Los Angeles, CA 90012",84,0,19,3,0,0,0,0,0,13,7,1,18,0,23,0
Apartment for Rent,"257 S Spring St, Los Angeles, CA 90012",165,1,53,7,0,0,0,0,0,18,19,1,38,0,28,0
Apartment for Rent,"2631 W 48th St, Los Angeles, CA 90043",24,0,5,3,0,0,0,0,0,9,2,0,1,0,4,0
Apartment for Rent,"2632 Halldale Ave, Los Angeles, CA 90018",28,0,2,2,0,0,0,0,0,9,0,0,8,0,7,0
Apartment for Rent,"2637 S Catalina St, Los Angeles, CA 90007",46,0,6,3,0,0,0,0,0,13,1,0,17,0,6,0
