Name,Location,Price(in $)
Apartment for Rent,"722 S Manhattan Plz, Los Angeles, CA 90005",1850.0
Apartment for Rent,"727 S Coronado St, Los Angeles, CA 90057",1595.0
Apartment for Rent,"734 Catalina S St, Los Angeles, CA 90005",2025.0
Apartment for Rent,"737 S Kingsley Dr, Los Angeles, CA 90005",2714.0
Apartment for Rent,"744 Beacon Ave, Los Angeles, CA 90017",1475.0
Apartment for Rent,"746 S Los Angeles St, Los Angeles, CA 90014",2532.5
Apartment for Rent,"748 Hartford Ave, Los Angeles, CA 90017",2875.0
Apartment for Rent,"801 S Grand Ave, Los Angeles, CA 90017",4200.0
Apartment for Rent,"807 S Flower St, Los Angeles, CA 90017",700.0
Apartment for Rent,"807 W 30th St, Los Angeles, CA 90007",1495.0
Apartment for Rent,"810 S Spring St, Los Angeles, CA 90014",3610.0
Apartment for Rent,"815 S Harvard Blvd, Los Angeles, CA 90005",3500.0
Apartment for Rent,"815 S Lake St, Los Angeles, CA 90057",1395.0
Apartment for Rent,"821 W 43rd Pl, Los Angeles, CA 90037",2300.0
Apartment for Rent,"825 S Hill St, Los Angeles, CA 90014",10400.0
Apartment for Rent,"832 S Oxford Ave, Los Angeles, CA 90005",1875.0
Apartment for Rent,"833 S Berendo St, Los Angeles, CA 90005",2320.0
Apartment for Rent,"835 S Oxford Ave, Los Angeles, CA 90005",1875.0
Apartment for Rent,"836 S Park View St, Los Angeles, CA 90057",1750.0
Apartment for Rent,"839 Fedora St, Los Angeles, CA 90005",3476.6666666666665
Apartment for Rent,"843 Irolo St, Los Angeles, CA 90005",1850.0
Apartment for Rent,"848 Irolo St, Los Angeles, CA 90005",3000.0
Apartment for Rent,"850 S Olive St, Los Angeles, CA 90014",75000.0
Apartment for Rent,"851 S Kenmore Ave, Los Angeles, CA 90005",1550.0
Apartment for Rent,"858 S Gramercy Pl, Los Angeles, CA 90005",3500.0
Apartment for Rent,"887 E 40th Pl, Los Angeles, CA 90011",3200.0
Apartment for Rent,"888 S Olive St, Los Angeles, CA 90014",7283.684210526316
Apartment for Rent,"889 Francisco St, Los Angeles, CA 90017",4500.0
Apartment for Rent,"900 S Vermont Ave, Los Angeles, CA 90006",3012.0
Apartment for Rent,"910 W 23rd St, Los Angeles, CA 90007",3575.0
Apartment for Rent,"914 W 41st St, Los Angeles, CA 90037",1895.0
Apartment for Rent,"918 S Harvard Blvd, Los Angeles, CA 90006",2900.0
Apartment for Rent,"924 S Serrano Ave, Los Angeles, CA 90006",3500.0
Apartment for Rent,"958 Magnolia Ave, Los Angeles, CA 90006",2195.0
Apartment for Rent,"964 S Ardmore Ave, Los Angeles, CA 90006",1900.0
Ardmore,"860 S Ardmore Ave, Los Angeles, CA 90005",2272.0
Atelier,"801 S Olive St, Los Angeles, CA 90014",7214.0
Atlas House,"2500 Wilshire Blvd, Los Angeles, CA 90057",3233.0
Avalon,"1248 W Adams Blvd, Los Angeles, CA 90007",4550.0
Avana on Wilshire,"635 S Hobart Blvd, Los Angeles, CA 90005",3034.0
Avant,"1360-1500 S Figueroa St, Los Angeles, CA 90015",2457.0
Aven,"1120 S Grand Ave, Los Angeles, CA 90015",13575.0
Axis,"1200 S Broadway, Los Angeles, CA 90015",4684.0
B & B Apartments,"750 S Carondelet St, Los Angeles, CA 90057",2450.0
Be DTLA,"1120 W 6th St, Los Angeles, CA 90017",3446.0
Beaudry,"960 W 7th St, Los Angeles, CA 90017",6302.0
Berendo Terrace,"689 S Berendo St, Los Angeles, CA 90005",2796.0
Berendo Villas,"1025 S Berendo St, Los Angeles, CA 90006",2445.0
Berkshire K2LA,"685 S New Hampshire Ave, Los Angeles, CA 90005",3236.0
Bixel at Fifth,"1311 W 5th St, Los Angeles, CA 90017",2400.0
Blackstone Apartments (1 month free rent!)*,"901 S Broadway, Los Angeles, CA 90015",3100.0
Bonnie Brae Apartments,"930 S Bonnie Brae St, Los Angeles, CA 90006",1670.0
Broadway Lofts,"430 S Broadway, Los Angeles, CA 90013",2670.0
Broadway Palace,"1026 S Broadway, Los Angeles, CA 90015",4198.0
Casa Loma LA Apartments,"208-210 W 14th St, Los Angeles, CA 90015",1275.0
Catalina Apartments,"500 S Catalina St, Los Angeles, CA 90020",2575.0
Circa LA,"1200 S Figueroa St, Los Angeles, CA 90015",14659.0
City Lights on Fig,"1300 S Figueroa St, Los Angeles, CA 90015",3097.0
City Lofts,"626 S Spring St, Los Angeles, CA 90014",1975.0
City Park Apartments,"1246 W 30th St, Los Angeles, CA 90007",1890.0
City View Apartments,"1207 Miramar St, Los Angeles, CA 90026",2345.0
Commodore Regency Apartments,"685 S Lucas Ave, Los Angeles, CA 90017",1450.0
Condo for Rent,"1100 Wilshire Blvd, Los Angeles, CA 90017",3250.0
Condo for Rent,"1130 S Flower St, Los Angeles, CA 90015",4500.0
Condo for Rent,"1149 W 25th St, Los Angeles, CA 90007",6600.0
Condo for Rent,"1218 Magnolia Ave, Los Angeles, CA 90006",3995.0
Condo for Rent,"1234 Wilshire Blvd, Los Angeles, CA 90017",2950.0
Condo for Rent,"1476 W 35th St, Los Angeles, CA 90018",1093.0
Condo for Rent,"1532 4th Ave, Los Angeles, CA 90019",2300.0
Condo for Rent,"2121 James M Wood Blvd, Los Angeles, CA 90006",1937.5
Condo for Rent,"249 N Bonnie Brae St, Los Angeles, CA 90026",3515.0
Condo for Rent,"257 S Spring St, Los Angeles, CA 90012",12000.0
Condo for Rent,"2939 Leeward Ave, Los Angeles, CA 90005",3630.0
Condo for Rent,"3511 W 6th St, Los Angeles, CA 90020",5795.0
Condo for Rent,"400 S Broadway, Los Angeles, CA 90013",3673.75
Condo for Rent,"420 San Pedro St, Los Angeles, CA 90013",2600.0
Condo for Rent,"435 S La Fayette Park Pl, Los Angeles, CA 90057",3500.0
Condo for Rent,"460 S Spring St, Los Angeles, CA 90013",6800.0
Condo for Rent,"625 S Berendo St, Los Angeles, CA 90005",3000.0
Condo for Rent,"630 W 6th St, Los Angeles, CA 90017",2195.0
Condo for Rent,"746 S Los Angeles St, Los Angeles, CA 90014",2200.0
Condo for Rent,"800 W 1st St, Los Angeles, CA 90012",2410.0
Condo for Rent,"801 S Grand Ave, Los Angeles, CA 90017",4450.0
Condo for Rent,"849 S Broadway, Los Angeles, CA 90014",2995.0
Condo for Rent,"877 Francisco St, Los Angeles, CA 90017",3275.0
Condo for Rent,"889 Francisco St, Los Angeles, CA 90017",4600.0
Condo for Rent,"900 W Olympic Blvd, Los Angeles, CA 90015",7950.0
Condo for Rent,"901 S Flower St, Los Angeles, CA 90015",2800.0
Condo for Rent,"926 S Manhattan Pl, Los Angeles, CA 90019",3800.0
Crenshaw Townhouse,"1327-1329 S Crenshaw Blvd, Los Angeles, CA 90019",2683.0
Crosby,"3350 Wilshire Blvd, Los Angeles, CA 90010",4197.0
Crystal House Apartments,"1630 W 3rd St, Los Angeles, CA 90017",1700.0
DON - St. Germaine,"900 S Serrano Ave, Los Angeles, CA 90006",1895.0
Decollage Apartments,"3057-3067 W Pico Blvd, Los Angeles, CA 90006",3272.0
E on Grand,"1249 S Grand Ave, Los Angeles, CA 90015",2760.0
E on Hoover,"1157 S Hoover St, Los Angeles, CA 90006",2155.0
Eighth & Grand,"770 S Grand Ave, Los Angeles, CA 90014",3943.0
Emerald,"215 W 14th St, Los Angeles, CA 90015",3552.0
Fedora Woods,"861 Fedora, LOS ANGELES, CA 90005",1600.0
Fedora x Trilby,"826-840 S Mariposa Ave, Los Angeles, CA 90005",3042.0
G12,"1200 S Grand Ave, Los Angeles, CA 90015",5375.0
Gamer Apartment | Live Work Loft in Los An...,"443 S San Pedro St, Los Angeles, CA 90013",2497.0
Garment Lofts,"217 E 8th St, Los Angeles, CA 90014",2035.0
Gas Company Lofts,"810 S Flower St, Los Angeles, CA 90017",2614.0
Gillman Studio Apartments,"417 S Rampart Blvd, Los Angeles, CA 90057",1350.0
Gramercy Place,"1500 S Gramercy Pl, Los Angeles, CA 90019",2495.0
Grand Central Market Apartments,"307-317 S Broadway, Los Angeles, CA 90013",2612.0
HWH Luxury Living,"354 S Spring St, Los Angeles, CA 90013",5512.0
Haddon Hall,"3176-3188 W 8th St, Los Angeles, CA 90005",1325.0
Hallasan,"696 S New Hampshire Ave, Los Angeles, CA 90005",6152.0
Hartford Apartments,"744 Hartford Ave, Los Angeles, CA 90017",2872.0
Hellman Building,"411 S Main St, Los Angeles, CA 90013",2100.0
House for Rent,"1030 S St Andrews Pl, Los Angeles, CA 90019",5150.0
House for Rent,"1045 W 52nd St, Los Angeles, CA 90037",4000.0
House for Rent,"1113 4th Ave, Los Angeles, CA 90019",4000.0
House for Rent,"1179 W 28th St, Los Angeles, CA 90007",9450.0
House for Rent,"1180 W 37th Plz, Los Angeles, CA 90007",9600.0
House for Rent,"1213 W 24th St, Los Angeles, CA 90007",6439.0
House for Rent,"1222 W 35th St, Los Angeles, CA 90007",9595.0
House for Rent,"1228 Fedora St, Los Angeles, CA 90006",5795.0
House for Rent,"1231 W 36th Pl, Los Angeles, CA 90007",4600.0
House for Rent,"1237 W 25th St, Los Angeles, CA 90007",7200.0
House for Rent,"1237 W 37th Plz, Los Angeles, CA 90007",9597.0
House for Rent,"1301 W 22nd St, Los Angeles, CA 90007",3036.0
House for Rent,"1316 W 35th St, Los Angeles, CA 90007",6300.0
House for Rent,"1320 12th Ave, Los Angeles, CA 90019",5200.0
House for Rent,"1325 W Adams Blvd, Los Angeles, CA 90007",4500.0
House for Rent,"1329 W 37th Pl, Los Angeles, CA 90007",9713.0
House for Rent,"1334 W 22nd St, Los Angeles, CA 90007",7540.0
House for Rent,"1375 W 37th Dr, Los Angeles, CA 90007",4796.0
House for Rent,"1385 W 22nd St, Los Angeles, CA 90007",3700.0
House for Rent,"1430 E 20th St, Los Angeles, CA 90011",2500.0
House for Rent,"1451 W 36th Plz, Los Angeles, CA 90018",1339.0
House for Rent,"1511 4th Ave, Los Angeles, CA 90019",2800.0
House for Rent,"1513 4th Ave, Los Angeles, CA 90019",2900.0
House for Rent,"1540 W 58th St, Los Angeles, CA 90062",2700.0
House for Rent,"1651 W 37th Pl, Los Angeles, CA 90018",1073.0
