Name,Location,Distance(meter)
Apartment for Rent,"1421 W 35th St, Los Angeles, CA 90018",1483.147452908311
Apartment for Rent,"1422 W 29th St, Los Angeles, CA 90007",955.9096768579842
Apartment for Rent,"1426 W 27th St, Los Angeles, CA 90007",1168.478235467025
Apartment for Rent,"1426 W 38th St, Los Angeles, CA 90062",1730.3368441406485
Apartment for Rent,"1431 W 36th St, Los Angeles, CA 90018",1525.679807786942
Apartment for Rent,"147 E 36th St, Los Angeles, CA 90011",1297.6504816826516
Apartment for Rent,"1477 W 36th St, Los Angeles, CA 90018",1706.9167487952311
Apartment for Rent,"1479 W 36th St, Los Angeles, CA 90018",1714.7940132548797
Apartment for Rent,"1510 S Van Ness Ave, Los Angeles, CA 90019",3775.438980479634
Apartment for Rent,"1515 Wilshire Blvd, Los Angeles, CA 90017",3908.883881559762
Apartment for Rent,"1570 W 36th St, Los Angeles, CA 90018",1860.4678322456311
Apartment for Rent,"1580 W 30th St, Los Angeles, CA 90007",1455.037723679089
Apartment for Rent,"1640 W Vernon Ave, Los Angeles, CA 90062",2986.5522227675856
Apartment for Rent,"1659 W 36th Pl, Los Angeles, CA 90018",2082.225566344797
Apartment for Rent,"1711 S New Hampshire Ave, Los Angeles, CA 90006",2351.225960500158
Apartment for Rent,"1720 Miramar St, Los Angeles, CA 90026",4656.016268754081
Apartment for Rent,"1740 S New England St, Los Angeles, CA 90006",2249.179907841936
Apartment for Rent,"17550 W 45th St, Los Angeles, CA 90062",2960.692367300642
Apartment for Rent,"1765 W 38th St, Los Angeles, CA 90062",2578.862295433999
Apartment for Rent,"1815 W 12th St, Los Angeles, CA 90006",2869.2838983392508
Apartment for Rent,"1817 W 12th St, Los Angeles, CA 90006",2869.578093301372
Apartment for Rent,"1830 W Jefferson Blvd, Los Angeles, CA 90018",2307.852311450487
Apartment for Rent,"1935 W 23rd St, Los Angeles, CA 90018",2315.2970867441163
Apartment for Rent,"2121 James M Wood Blvd, Los Angeles, CA 90006",3529.0367653533885
Apartment for Rent,"215 W 5th St, Los Angeles, CA 90013",4295.381776513855
Apartment for Rent,"2209 Crenshaw Blvd, Los Angeles, CA 90016",4677.117564850943
Apartment for Rent,"221 Lucas Ave, Los Angeles, CA 90026",4791.105898860684
Apartment for Rent,"222 S Main St, Los Angeles, CA 90012",4847.838833171079
Apartment for Rent,"2231 Ellendale Pl, Los Angeles, CA 90007",1488.9545443764207
Apartment for Rent,"225 S Grand Ave, Los Angeles, CA 90012",4708.85357461232
Apartment for Rent,"225 S Olive St, Los Angeles, CA 90012",4726.494651112169
Apartment for Rent,"2288 W 27th St, Los Angeles, CA 90018",3108.144283965308
Apartment for Rent,"2331 Portland St, Los Angeles, CA 90007",1223.8374852237823
Apartment for Rent,"235 E 28th St, Los Angeles, CA 90011",1560.789414467405
Apartment for Rent,"236 S Los Angeles St, Los Angeles, CA 90012",4847.79394584994
Apartment for Rent,"236 W 39th St, Los Angeles, CA 90037",1341.672365171574
Apartment for Rent,"238 E Vernon Ave, Los Angeles, CA 90011",2435.1642473376924
Apartment for Rent,"2404 5th Ave, Los Angeles, CA 90018",3704.813774702832
Apartment for Rent,"253 S Broadway, Los Angeles, CA 90012",4693.865909479837
Apartment for Rent,"255 S Grand Ave, Los Angeles, CA 90012",4777.303387743325
Apartment for Rent,"257 S Spring St, Los Angeles, CA 90012",4771.656346514515
Apartment for Rent,"2631 W 48th St, Los Angeles, CA 90043",4192.371782221894
Apartment for Rent,"2632 Halldale Ave, Los Angeles, CA 90018",1945.6984225514832
Apartment for Rent,"2637 S Catalina St, Los Angeles, CA 90007",1318.8744681395656
Apartment for Rent,"2663 5th Ave, Los Angeles, CA 90018",3572.988755966732
Apartment for Rent,"2684 Orchard Ave, Los Angeles, CA 90007",929.7099259345872
Apartment for Rent,"2725 Obama Blvd, Los Angeles, CA 90018",3741.803275181823
Apartment for Rent,"2769 James M Wood Blvd, Los Angeles, CA 90006",3744.755381975563
Apartment for Rent,"2801 Sunset Pl, Los Angeles, CA 90005",4279.773136088023
Apartment for Rent,"2811 Menlo Ave, Los Angeles, CA 90007",902.4779033155784
Apartment for Rent,"2914 S Normandie Ave, Los Angeles, CA 90007",1556.099648447661
Apartment for Rent,"2928 S Halldale Ave, Los Angeles, CA 90018",5142.254298036938
Apartment for Rent,"2937 S Norton Ave, Los Angeles, CA 90018",4454.518677274146
Apartment for Rent,"2953 Francis Ave, Los Angeles, CA 90005",3865.89345058374
Apartment for Rent,"300 E 9th St, Los Angeles, CA 90015",3516.768689674917
Apartment for Rent,"3000 Normandie Ave, Los Angeles, CA 90007",3617.959463497197
Apartment for Rent,"3014 9th Ave, Los Angeles, CA 90018",3906.896072130269
Apartment for Rent,"3033 Van Buren Pl, Los Angeles, CA 90007",1214.090808626294
Apartment for Rent,"3100 S Normandie Ave, Los Angeles, CA 90007",1458.1449559159687
Apartment for Rent,"3105 S Normandie Ave, Los Angeles, CA 90007",1480.218935055474
Apartment for Rent,"324 W 51st St, Los Angeles, CA 90037",2947.5507201005576
Apartment for Rent,"3339 W 8th St, Los Angeles, CA 90005",4202.490476795973
Apartment for Rent,"334 S Main St, Los Angeles, CA 90013",4578.993032901008
Apartment for Rent,"338 S Benton Way, Los Angeles, CA 90057",4879.358628495828
Apartment for Rent,"343 E 53rd St, Los Angeles, CA 90011",3457.966785758943
Apartment for Rent,"3480 San Marino St, Los Angeles, CA 90006",4162.586818650057
Apartment for Rent,"3511 W 6th St, Los Angeles, CA 90020",4746.0441374366455
Apartment for Rent,"3520 W 39th St, Los Angeles, CA 90008",4601.156070279834
Apartment for Rent,"3540 Wilshire Blvd, Los Angeles, CA 90010",4627.455291116516
Apartment for Rent,"3616 W Adams Blvd, Los Angeles, CA 90018",3787.550599329392
Apartment for Rent,"3711 Halldale Ave, Los Angeles, CA 90018",1662.8707315646288
Apartment for Rent,"3881 S Gramercy Pl, Los Angeles, CA 90062",2727.087428917864
Apartment for Rent,"400 S Broadway, Los Angeles, CA 90013",4464.05153292986
Apartment for Rent,"4005 W 28th St, Los Angeles, CA 90018",4203.976183902486
Apartment for Rent,"4011 W 21st St, Los Angeles, CA 90018",4316.170203528672
Apartment for Rent,"4012 S Normandie Ave, Los Angeles, CA 90037",1906.790244897912
Apartment for Rent,"4058 9th Ave, Los Angeles, CA 90008",4113.167979351624
Apartment for Rent,"4077 8th Ave, Los Angeles, CA 90008",4043.7377366471655
Apartment for Rent,"417 S Hill St, Los Angeles, CA 90013",4379.248404408311
Apartment for Rent,"4171 Dalton Ave, Los Angeles, CA 90062",2344.203219518567
Apartment for Rent,"4172 S Hobart Blvd, Los Angeles, CA 90062",2636.6750089766256
Apartment for Rent,"420 San Pedro St, Los Angeles, CA 90013",4616.773461921191
Apartment for Rent,"4234 8th Ave, Los Angeles, CA 90008",4164.419580743007
Apartment for Rent,"424 W Pico Blvd, Los Angeles, CA 90015",2606.789194693208
Apartment for Rent,"426 E 30th St, Los Angeles, CA 90011",1681.0110456472123
Apartment for Rent,"4301 8th Ave, Los Angeles, CA 90008",4220.118510667943
Apartment for Rent,"4308 S Normandie Ave, Los Angeles, CA 90037",2353.148427444006
Apartment for Rent,"433 Lake S St, Los Angeles, CA 90057",4461.270497687678
Apartment for Rent,"4335 Walton Ave, Los Angeles, CA 90037",2152.679473645631
Apartment for Rent,"4412 8th Ave, Los Angeles, CA 90043",4293.681537671304
Apartment for Rent,"444 S Occidental Blvd, Los Angeles, CA 90057",4867.429880695282
Apartment for Rent,"449 E 49th St, Los Angeles, CA 90011",3032.2945356559794
Apartment for Rent,"460 S Spring St, Los Angeles, CA 90013",4340.477179892094
Apartment for Rent,"4617 7th Ave, Los Angeles, CA 90043",4326.074389647536
Apartment for Rent,"4626 Wall St, Los Angeles, CA 90011",2611.2888073040813
Apartment for Rent,"4726 4th Ave, Los Angeles, CA 90043",4117.763443035553
Apartment for Rent,"496 E 41st St, Los Angeles, CA 90011",2210.1941830912547
Apartment for Rent,"553 S Coronado St, Los Angeles, CA 90057",4510.657824145206
Apartment for Rent,"5730 S Van Ness Ave, Los Angeles, CA 90062",4639.0832589179045
Apartment for Rent,"5902 S Wilton Pl, Los Angeles, CA 90047",4776.806490825077
Apartment for Rent,"600 W 9th St, Los Angeles, CA 90015",3377.829029667753
Apartment for Rent,"6049 S Normandie Ave, Los Angeles, CA 90044",4427.447699439604
Apartment for Rent,"609 S Grand Ave, Los Angeles, CA 90017",3986.529325926972
Apartment for Rent,"612 Flower St, Los Angeles, CA 90017",3947.164747688402
Apartment for Rent,"618 W 54th St, Los Angeles, CA 90037",3248.085855175244
Apartment for Rent,"621 S Broadway, Los Angeles, CA 90014",4018.731510665547
Apartment for Rent,"625 S Berendo St, Los Angeles, CA 90005",4558.249675344639
Apartment for Rent,"630 S Kenmore Ave, Los Angeles, CA 90005",4620.326435457036
Apartment for Rent,"639 S Spring St, Los Angeles, CA 90014",3962.3178333904207
Apartment for Rent,"685 S New Hampshire Ave, Los Angeles, CA 90005",4259.4234932731615
Apartment for Rent,"687 Shatto Pl, Los Angeles, CA 90005",4221.99535349598
Apartment for Rent,"700 W 9th St, Los Angeles, CA 90015",3365.7356073462583
Apartment for Rent,"702 W 42nd St, Los Angeles, CA 90037",1717.8820307554513
Apartment for Rent,"709 W 48th St, Los Angeles, CA 90037",2523.3246508379284
Apartment for Rent,"722 S Manhattan Plz, Los Angeles, CA 90005",4704.7913465791735
Apartment for Rent,"727 S Coronado St, Los Angeles, CA 90057",4012.476027523114
Apartment for Rent,"734 Catalina S St, Los Angeles, CA 90005",4178.352562830702
Apartment for Rent,"737 S Kingsley Dr, Los Angeles, CA 90005",4390.333983002833
